,text,labels
0,انا من رايي نشجع المراءه على اكمال دراستها وتحصيل وظيفه ملايمه لها افضل من قيامها بدور العامل,0
1,لو العيال يجروا ورا مستقبلهم زى ما بيجروا ورا البنات كان زمانهم كلهم مهندسين ودكاترة,0
2,كلنا مسوول علاج مرض كورونا هو البقاء في المنازل وعدم الخروج والتقيد بتعليمات والالتزام بمنع حظر التجول وترك مسافة لا تقل عن متر ونص بينك وبين الاخرين في الطوابير عند المحلات التجاريه او الصرافات والمداومه على غسل اليدين بالماء والصابون كل اربع ساعات,0
3,قبل كنت اقرا منشورا لاحد الاشخاص يعتبر نفسه علمانيا بس مكثر ويعتقد بان العلمانية رديفة الالحاد او نقيضة,0
4,من وين عم تجيب مصاري حتى تدفع قسط ابنك بلندن,0
5,احسنتي اختي امل اذا كان المسوول اللي توقعنا بينصف روضة وبياخذ حقها خان كلمته ووعده اللي وعده امام ابوها واخوتها هولاء هم من يحملون الامانة الله يرحمنا برحمته اذا امثالهم تسلطوا على رقاب المواطنين ومصالحهم,0
6,هو وهابو نفسو مش فهمان على حالو كيف بدك الناس تفهم عليه هيدا الانسان بدو يعبي وقتو من ال,0
7,وزغرطي يا انشراح,0
8,حبايبنا اللبنانية و بعدين ما حدا تغزل و كتب شعر حب ببيروت مثل الشعراء الفلسطينيين,0
9,الصراحه يمثلني الشعب طول اليوم في الشوارع وبالليل يروح يشوف نتايج الكورونا عبالهم انتخابات,0
10,اردوغان دمو بترول بالفطرة السيسي سفن اب,0
11,يا جماعه خلونا واقعين بعض الناس ما تلتزم بتعليمات الوقايه من جهنم تبونهم يلتزمون بتعليمات الوقايه من كورونا,0
12,الف تحية لامير دولة قطر,0
13,الشروع في استخدام دواء جديد لفيروس كورونا في الجزاير بالاك فيروس جديد منافس لكورونا تاكدوا يرحم والديكم ما ناش ناقصين مشاكل ريح في دارك,0
14,تكفى غير الاسم حط عتيبي قحطاني اي شي,0
15,ولك حاج زعرنات يلي ضد القانون انت وبس,0
16,حبيب فياض يهاجم جبران باسيل بعنف لم يتجرا اي مسوول لبناني بالدفاع عن حق اسراييل مثلما يفعل باسيل اليوم,0
17,حبيب فياض يهاجم جبران باسيل بعنف لم يتجرا اي مسوول لبناني بالدفاع عن حق اسراييل مثلما يفعل باسيل اليوم,0
18,جبران باسيل وتياره حليف استراتيجي للمقاومة حتى يقول هو غير ذلك او يقول السيد حسن نصر الله غير ذلك كلام البعض عالتويتر,0
19,توسيع اجراءات الحجر الجزيي الى الولايات التالية باتنة تيزي وزو سطيف قسنطينة المدية وهران بومرداس الوادي و تيبازة ابتداءا من الغد يوم الجمعة الجزاير فيروس كورنا ريح في دارك خليك في بيتك,0
20,الباحس عبدالله ال معيوف يحذف اكثر من تغريدة والجدير بالذكر انه غير حسابه قبل اشهر من الى وهذه احدى التغريدات من سيرفر تويتر للارشفة تبين اسمه وحسابه القديم الذي غيره واليكم الرابط من نفس حسابه الجديد,0
21,من هم السلفيين في هذا العصر برايك منك نستفيد,0
